Jornada,Módulo,Subgrupo (Opcional),Título,Descrição
Pais Recém-Nascidos,Cuidando de Quem Cuida,Uma Rede de Apoio,Limites saudáveis: cuidando de você sem se afastar dos outros,Encontre formas gentis e firmes de proteger seu espaço e sua energia.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Novas Responsabilidades,A insegurança faz parte: como confiar mais no seu próprio caminho,"Aprenda a observar, experimentar e seguir em frente sem buscar certezas."
Pais Recém-Nascidos,Cuidando de Quem Cuida,Novas Responsabilidades,Autoconfiança no seu ritmo: pequenas conquistas também contam,Reconheça avanços do dia a dia e construa confiança passo a passo.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Novas Responsabilidades,A solidão que ninguém vê depois que a vida muda,Entenda a solidão interna e encontre formas de se sentir mais compreendido.
Pais Recém-Nascidos,Cuidando de Quem Cuida,Novas Responsabilidades,O luto pelas antigas versões de você e da sua vida,Dê espaço às mudanças e acolha o que ficou para trás sem culpa.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Desenvolvimento nos Primeiros Anos,Desenvolvimento de zero a três: o que esperar de cada fase,Conheça marcos importantes e acompanhe o desenvolvimento sem pressa.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Desenvolvimento nos Primeiros Anos,"Estimulação que acolhe: menos pressão, mais descobertas",Descubra como estimular o bebê sem transformar desenvolvimento em cobrança.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Desenvolvimento nos Primeiros Anos,Sinais de alerta no desenvolvimento: quando vale buscar orientação,Saiba o que observar e quando procurar orientação sem entrar em pânico.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Poder do Vínculo Afetivo,Teoria do apego: construindo segurança desde os primeiros vínculos,Entenda como presença e vínculo ajudam o bebê a construir segurança.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Poder do Vínculo Afetivo,"Toque, olhar e voz: pequenas interações, grandes vínculos",Veja como gestos simples do cotidiano fortalecem conexão e segurança.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Poder do Vínculo Afetivo,Ansiedade de separação: quando ir e voltar também ensina,Entenda essa fase e ajude seu bebê a viver separações com mais segurança.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,O Poder do Vínculo Afetivo,O ambiente também educa: como a casa participa do desenvolvimento,"Perceba como rotina, espaço e clima emocional influenciam o bebê."
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Explorando o mundo através do brincar,Brincar é fundamental: a evolução  também acontece na diversão,Entenda por que brincar é essencial e como aproveitar melhor esses momentos.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Explorando o mundo através do brincar,Brincadeiras para cada fase: acompanhando o bebê pelo caminho,Encontre ideias de brincadeiras adequadas ao momento e ao desenvolvimento.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Explorando o mundo através do brincar,Como enriquecer a brincadeira sem precisar de grandes recursos,Transforme situações simples do dia a dia em oportunidades de brincar.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Estabelecendo Limites,"Educação positiva: firmeza, conexão e respeito na primeira infância","Conheça uma forma de educar que combina limites, conexão e respeito."
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Estabelecendo Limites,Birras: como atravessar momentos difíceis sem perder a conexão,Aprenda a lidar com crises começando pela sua própria regulação emocional.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Estabelecendo Limites,"Consistência na comunicação: menos confusão, mais previsibilidade",Crie regras claras e consistentes para ajudar a criança a saber o que esperar.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Autonomia e Independência,Autonomia na primeira infância: pequenos passos rumo à independência,Ofereça escolhas e oportunidades para a criança ganhar confiança com segurança.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Autonomia e Independência,Respeitando o ritmo: desenvolvimento sem comparações e cobranças,Acompanhe cada conquista respeitando o ritmo da criança e da família.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Autonomia e Independência,Aprendendo com os erros: como fortalecer autonomia e confiança,Transforme tentativas e erros em oportunidades reais de aprendizagem.
Pais Recém-Nascidos,Os Alicerces de um Futuro Feliz,Autonomia e Independência,"Rotinas saudáveis: sono, alimentação e telas com mais previsibilidade",Construa hábitos possíveis que tragam previsibilidade e bem-estar para a casa.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: De Gerente a Mentor,Aceitando seu novo papel na adolescência do seu filho.,"Troque o controle excessivo por presença, orientação e confiança."
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: De Gerente a Mentor,Quebrando ciclos: escolhendo o que repetir e o que transformar,Reconheça padrões do passado e escolha conscientemente o que levar adiante.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: De Gerente a Mentor,Autoridade sem autoritarismo: firmeza que preserva a relação,Estabeleça limites com clareza sem transformar autoridade em controle.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: Redescobrindo Quem Você É,Como conviver com as diferenças sem transformar tudo em conflito,Aprenda a acolher diferenças e construir acordos que façam sentido para todos.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: Redescobrindo Quem Você É,"Reparando a relação com você: menos culpa, mais presença",Reencontre seu próprio espaço e fortaleça a relação consigo nesta fase.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Cá: Redescobrindo Quem Você É,Celebrando a jornada: reconheça o caminho que vocês já percorreram,Valorize conquistas e aprendizados sem perder de vista o que ainda vem.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Um Cérebro em Reforma,Mudanças neurobiológicas: entendendo o cérebro adolescente,Entenda o que muda no cérebro e por que isso afeta escolhas e emoções.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Um Cérebro em Reforma,Impulsividade e decisões: entendendo antes de cobrar maturidade,Compreenda impulsos e decisões para orientar sem reduzir tudo a desobediência.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Uma Identidade em Construção,Quem sou eu? A identidade que ganha forma na adolescência,Acompanhe a construção da identidade sem tentar definir quem seu filho será.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Uma Identidade em Construção,Autonomia e família: dando espaço sem perder a conexão,"Aprenda a ampliar a autonomia mantendo presença, vínculo e confiança."
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Uma Identidade em Construção,Amigos e redes sociais: quando a influência muda de lugar,Entenda o peso dos pares e das redes para orientar sem invadir.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Emoções a Flor da Pele,Oscilações emocionais: acolhendo os altos e baixos da adolescência,Entenda as mudanças emocionais e descubra como oferecer um porto seguro.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Emoções a Flor da Pele,Como acolher as emoções sem tentar resolver tudo por eles,Aprenda a escutar e acolher emoções sem transformar conversa em sermão.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: Emoções a Flor da Pele,Sinais de alerta para a saúde mental: o que merece atenção,"Saiba o que observar e quando buscar ajuda, sem transformar cuidado em vigilância."
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: O Mundo Digital,"Digital na adolescência: benefícios, riscos e escolhas conscientes",Entenda o que o digital oferece e ajude seu filho a circular com consciência.
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: O Mundo Digital,"Redes sociais, comparação e privacidade: protegendo sem controlar","Converse sobre comparação, exposição e privacidade sem transformar tudo em proibição."
Construindo Pontes,Os Dois Lados da Ponte,O Lado de Lá: O Mundo Digital,Limites para telas: acordos claros sem transformar a casa em guerra,"Crie limites possíveis para telas, com menos punição e mais clareza."
Construindo Pontes,Construindo a Ponte,O Novo Jeito de Conversar,Comunicação que aproxima: falando para manter a ponte aberta,"Encontre formas de conversar que favoreçam confiança, vínculo e colaboração."
Construindo Pontes,Construindo a Ponte,O Novo Jeito de Conversar,A arte de perguntar: perguntas que abrem espaço para conversar,Troque interrogatórios por perguntas que convidam à conversa e à reflexão.
Construindo Pontes,Construindo a Ponte,O Novo Jeito de Conversar,Escuta ativa: quando ouvir vale mais do que ter a resposta,"Pratique uma escuta que acolhe, compreende e fortalece a relação."
Construindo Pontes,Construindo a Ponte,O Novo Jeito de Conversar,Resolvendo conflitos: como transformar atrito em aprendizado,"Aprenda a atravessar conflitos com clareza, respeito e espaço para reparar."
Construindo Pontes,Construindo a Ponte,O Novo Jeito de Conversar,Tópicos sensíveis: como conversar sobre o que dá vontade de evitar,"Prepare conversas difíceis com mais abertura, segurança e menos julgamento."
Construindo Pontes,Construindo a Ponte,Limites que Acolhem,Disciplina positiva: limites que ensinam sem romper a conexão,"Construa limites que orientam e ensinam, sem transformar disciplina em punição."
Construindo Pontes,Construindo a Ponte,Limites que Acolhem,Regras claras: combinados que ajudam a casa a funcionar melhor,Defina acordos simples e consistentes para reduzir conflitos no cotidiano.
Construindo Pontes,Construindo a Ponte,Limites que Acolhem,Supervisão ou controle? Encontrando o ponto de equilíbrio,Esteja presente para orientar sem transformar acompanhamento em vigilância.
Construindo Pontes,Construindo a Ponte,Convivência Real,Privacidade e convivência: respeitando o espaço sem perder o vínculo,"Encontre o equilíbrio entre intimidade, autonomia e presença na família."
Construindo Pontes,Construindo a Ponte,Convivência Real,Uma rotina que reduz atritos e deixa mais espaço para convivência,Organize o cotidiano com combinados que diminuem conflitos e cobranças.
Construindo Pontes,Construindo a Ponte,Convivência Real,Brigas inúteis e repetitivas: como sair do mesmo ciclo,Identifique padrões de conflito e mude a dinâmica antes que tudo vire disputa.
Construindo Pontes,Construindo a Ponte,Autonomia e Responsabilidade,Consequências naturais e lógicas: deixando a vida também ensinar,Use consequências para ensinar responsabilidade sem transformar tudo em punição.
Construindo Pontes,Construindo a Ponte,Autonomia e Responsabilidade,Independência emocional e prática: preparando para a vida adulta,Fortaleça habilidades práticas e emocionais para que seu filho ganhe autonomia.
Construindo Pontes,Construindo a Ponte,Autonomia e Responsabilidade,Confiando nos erros: quando deixar aprender também é cuidar,"Permita que erros e consequências ensinem, oferecendo apoio sem assumir o controle."
Construindo Pontes,Construindo a Ponte,Projeto de Futuro,Carreira e propósito: apoiando escolhas sem projetar seus desejos,"Apoie planos de futuro sem impor expectativas, deixando espaço para escolhas próprias."
Construindo Pontes,Construindo a Ponte,Projeto de Futuro,De pais-gestores a pais-mentores: uma nova forma de estar presente,"Faça a transição para uma presença baseada em confiança, orientação e apoio."
Singular,O Que Nasce em Vocês,A Nova Realidade,Mudança de rota: aceitação é um processo gradual,Um espaço para acolher a saudade dos planos antigos e o percurso de aceitar.
Singular,O Que Nasce em Vocês,A Nova Realidade,Adeus expectativas: um espaço para o seu filho real,A passagem suave do futuro planejado para o abraço acolhedor no filho de hoje.
Singular,O Que Nasce em Vocês,O Lado Emocional,O peso do futuro: esperança e conexão no dia de hoje,Um convite para trocar o medo do amanhã por mais presença e força no agora.
Singular,O Que Nasce em Vocês,O Lado Emocional,"Medo, culpa e exaustão: aquilo que ninguém te conta","Um lugar seguro para sentimentos reais, lembrando que o cansaço não diminui o amor."
Singular,O Que Nasce em Vocês,O Lado Emocional,Máscara de oxigênio: o autocuidado com quem cuida,A descoberta de pequenos respiros no dia a dia para renovar a mente e a energia.
Singular,O Que Nasce em Vocês,A Dinâmica da Família,Mãe ou gerente? O afeto além de uma rotina médica,O desafio de harmonizar a agenda de terapias com o tempo livre de ser família.
Singular,O Que Nasce em Vocês,A Dinâmica da Família,O casal como pilar: a união em meio à uma nova realidade.,O fortalecimento da parceria e do companheirismo nos dias mais desafiadores.
Singular,O Que Nasce em Vocês,A Dinâmica da Família,Acolhendo os irmãos: as dúvidas das outras crianças,O carinho e a atenção para nutrir conexões seguras com os irmãos da criança.
Singular,O Que Floresce na Criança,Além do Diagnóstico,Muito além de um laudo: a identidade única do seu filho,Um olhar sensível para a personalidade e o potencial muito além do diagnóstico.
Singular,O Que Floresce na Criança,Além do Diagnóstico,As diferenças e o ritmo único do desenvolvimento do seu filho.,O encontro de paz e respeito para acompanhar o tempo próprio da sua criança.
Singular,O Que Floresce na Criança,Além do Diagnóstico,O olhar de amor: celebrando o real e o que cresce na sua família,A mudança de perspectiva para enxergar as potências que florescem todos os dias.
Singular,O Que Floresce na Criança,O Mundo Sensorial,Muito além das palavras: o mundo sensorial da sua criança,A percepção de que movimentos e texturas também são formas profundas de afeto.
Singular,O Que Floresce na Criança,O Mundo Sensorial,Criando pontes de conversa respeitando o ritmo do seu filho,Caminhos acolhedores para se conectar usando linguagens não tradicionais.
Singular,O Caminho Que Vocês Constroem Juntos,A Estrutura do Cuidado,O amor que organiza: rotinas que acolhem e fluem,"A construção de um dia a dia previsível, que traz paz e leveza sem rigidez."
Singular,O Caminho Que Vocês Constroem Juntos,A Estrutura do Cuidado,O amor que defende: navegando por terapias e escolas,O apoio necessário para lidar com burocracias e garantir direitos com serenidade.
Singular,O Caminho Que Vocês Constroem Juntos,A Estrutura do Cuidado,O amor que pede ajuda: a rede de apoio que funciona,A formação de uma rede prática e amorosa para suavizar o peso da rotina intensa.
Singular,O Caminho Que Vocês Constroem Juntos,A Estrutura do Cuidado,O mundo lá fora: protegendo seu filho com firmeza e leveza,Reflexões sobre como lidar com falas invasivas e olhares mantendo a própria luz.
Singular,O Caminho Que Vocês Constroem Juntos,Conexão e Beleza,Criando rituais de afeto: práticas para conectar e celebrar,A magia dos pequenos hábitos para comemorar passos importantes e unir a família.
Singular,O Caminho Que Vocês Constroem Juntos,Conexão e Beleza,Beleza em caminhos diferentes: foco na luz e alegria da família,A surpresa de um caminho onde a alegria e o amor singular iluminam toda a casa.
Singular,O Caminho Que Vocês Constroem Juntos,Conexão e Beleza,O maior presente de todos: confiando na sua intuição materna,O resgate da segurança interna e da escuta atenta do coração na relação de vocês.
Amor Escolhido,O Caminho Até o Encontro,A Espera e o Desejo,Antes do sim: o desejo os medos e o chamado,Um espaço para entender as incertezas e a força que iniciam a adoção.
Amor Escolhido,O Caminho Até o Encontro,A Espera e o Desejo,A espera e a relação: como o tempo testa o amor,O fortalecimento do casal enquanto o momento do grande encontro não chega.
Amor Escolhido,O Caminho Até o Encontro,A Espera e o Desejo,Expectativas invisíveis: o imaginado e o possível,A passagem do cenário idealizado para a aceitação da realidade como ela é.
Amor Escolhido,Quando o Encontro Acontece,Os Primeiros Passos,O primeiro olhar: quando duas histórias se cruzam,A emoção e a delicadeza dos primeiros contatos reais com a sua criança.
Amor Escolhido,Quando o Encontro Acontece,Os Primeiros Passos,Construção do vínculo: o amor que nasce nas ações,A descoberta de que o afeto ganha raízes através do cuidado do dia a dia.
Amor Escolhido,Quando o Encontro Acontece,Adaptação e Cuidado,Adaptação da criança: o luto e os testes de amor,Um olhar empático sobre o medo da perda e a necessidade de sentir segurança.
Amor Escolhido,Quando o Encontro Acontece,Adaptação e Cuidado,O tempo do corpo: o afeto físico e os seus limites,O respeito pelo espaço da criança até que o abraço se torne um porto seguro.
Amor Escolhido,Quando o Encontro Acontece,Adaptação e Cuidado,O puerpério da adoção e as conexões com os irmãos,A reorganização da casa e a construção de laços seguros entre os filhos.
Amor Escolhido,Quando o Encontro Acontece,Adaptação e Cuidado,A máscara de oxigênio: o autocuidado nessa fase,A busca por respiros para aliviar o medo de falhar e sustentar a transição.
Amor Escolhido,"A Origem, os Laços e a Verdade",Falando da História,"Como falar de origem: respeito, verdade e linguagem",Caminhos leves e honestos para conversar sobre o passado em cada idade.
Amor Escolhido,"A Origem, os Laços e a Verdade",Falando da História,Ajudando a criança a se reconhecer na nova família,A construção do sentimento profundo de pertencer e ter um lugar no mundo.
Amor Escolhido,"A Origem, os Laços e a Verdade",Falando da História,Quando perguntas doem: família biológica e abandono,O acolhimento das dúvidas difíceis com serenidade presença e muito amor.
Amor Escolhido,A Vida que se Constrói,Rotina e Sociedade,Rotinas que fortalecem: a casa como lugar seguro,A mágica dos rituais diários e da previsibilidade para acalmar os corações.
Amor Escolhido,A Vida que se Constrói,Rotina e Sociedade,Lidando com o mundo: acolhendo os olhares curiosos,Formas seguras de lidar com palpites externos e proteger a sua intimidade.
Amor Escolhido,A Vida que se Constrói,Rotina e Sociedade,O amor que advoga: a escola e o pertencimento,O apoio na preparação da escola para abraçar a história do seu filho.
Amor Escolhido,A Vida que se Constrói,Rotina e Sociedade,Formando a sua rede: o poder do apoio que funciona,A criação de um círculo de amigos e parentes para dar suporte verdadeiro.
Amor Escolhido,A Vida que se Constrói,Celebração do Amor,Celebrando a jornada: honrando a história de vocês,A alegria de comemorar a vida e a união que vocês decidiram trilhar juntos.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Fim de ciclo,Quando a casa muda e um ciclo termina,Entenda por que a saída dos filhos transforma muito mais do que a rotina da casa.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Sentimentos misturados,Orgulho e saudade podem morar juntos,Acolha sentimentos diferentes sem transformar tristeza em falta de apoio aos filhos.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Papel parental,Quando você sente falta de ser necessário,Perceba como a independência dos filhos também mexe com o lugar que você ocupava.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Identidade,Quem sou eu quando meu papel de pai ou mãe muda?,Reconheça quem você é além das funções de cuidado que organizaram tantos anos da vida.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Espaços e memórias,"O que fazer com o quarto, os objetos e os espaços que ficaram?","Encontre seu próprio tempo para decidir o que preservar, transformar ou simplesmente deixar."
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Preocupação,"Quando a preocupação continua, mesmo com os filhos longe",Diferencie cuidado de ansiedade quando você já não acompanha de perto cada detalhe.
Novos Caminhos,Quando Eles Seguem Seus Caminhos,Soltar,Soltar não é deixar de cuidar,Descubra por que dar espaço pode ser uma nova forma de confiança e presença.
Novos Caminhos,Encontrando Novos Caminhos,Tempo e identidade,O que fazer com o tempo que voltou a ser seu?,Experimente o espaço que surgiu sem a obrigação de preenchê-lo ou reinventar a vida depressa.
Novos Caminhos,Encontrando Novos Caminhos,Desejos e projetos,Você não precisa voltar a ser quem era antes dos filhos,"Reencontre interesses e desejos de hoje, mesmo que sejam diferentes dos seus planos antigos."
Novos Caminhos,Encontrando Novos Caminhos,Casal e relações,"E agora, quem somos nós além de pais e mães?","Redescubra conversas, intimidade, amizades e relações que podem ganhar novas formas."
Novos Caminhos,Encontrando Novos Caminhos,Novo papel parental,De quem resolve para quem acompanha,Aprenda a continuar sendo referência sem assumir a direção da vida do seu filho adulto.
Novos Caminhos,Encontrando Novos Caminhos,Presença,"Ligar, visitar, perguntar: qual é a nova medida da presença?","Construa proximidade respeitando o espaço, o ritmo e a vida que seu filho está criando."
Novos Caminhos,Encontrando Novos Caminhos,Ajuda e autonomia,Quando ajudar começa a virar interferência,Reconheça quando apoiar fortalece e quando é hora de deixar a decisão nas mãos dele.
Novos Caminhos,Encontrando Novos Caminhos,Escolhas e novos vínculos,A vida dele pode ser diferente da que você imaginou,"Sustente o vínculo diante de escolhas, parceiros e caminhos que talvez não fossem os seus."
Novos Caminhos,Encontrando Novos Caminhos,Porto seguro,"A casa como porto seguro, não como âncora",Continue oferecendo pertencimento sem fazer da proximidade uma condição para o amor.
Depois do Silêncio,Quando o Mundo Para,Descompasso,Quando parece que o mundo continuou - menos o seu,Acolha o estranhamento de ver a vida seguir quando a sua parece ter parado.
Depois do Silêncio,Quando o Mundo Para,Sentimentos,Quando o que você sente não parece combinar com a saudade,"Abra espaço para raiva, silêncio, alívio, riso ou cansaço sem transformar nenhum sentimento em medida do amor."
Depois do Silêncio,Quando o Mundo Para,Culpa,A culpa e os “e se...” que continuam procurando uma resposta,Acolha perguntas e cenários que voltam à mente sem exigir de si uma explicação capaz de mudar o que aconteceu.
Depois do Silêncio,Quando o Mundo Para,Corpo,Quando o corpo também carrega o peso do luto,"Perceba como sono, energia, atenção e disposição podem mudar sem cobrar de si um retorno rápido à normalidade."
Depois do Silêncio,Quando o Mundo Para,Cotidiano,Quando viver o dia inteiro parece grande demais,"Reduza a medida do tempo e atravesse rotina e tarefas em partes menores, no ritmo que for possível hoje."
Depois do Silêncio,O Amor que Permanece,Memória e ausência,"Falar, lembrar, sentir falta: o amor continua ocupando espaço","Dê lugar à memória sem tratar o nome, a saudade ou as lembranças como algo que precisa ser evitado."
Depois do Silêncio,O Amor que Permanece,Objetos e rituais,"O que fazer com o quarto, as roupas, as fotos e tudo o que ficou?","Guarde, transforme, crie um ritual ou simplesmente espere sem seguir uma regra sobre como preservar memórias."
Depois do Silêncio,O Amor que Permanece,Relação do casal,"Quando vocês amam a mesma pessoa, mas vivem a perda de jeitos diferentes",Reconheça ritmos distintos e procure formas de permanecer em relação sem exigir que a dor tenha a mesma linguagem.
Depois do Silêncio,O Amor que Permanece,Irmãos,Os irmãos também perderam alguém - e vivem uma história só deles,Acolha a experiência dos outros filhos sem esperar que ela se pareça com a sua ou que eles cuidem da sua dor.
Depois do Silêncio,O Amor que Permanece,Mundo ao redor,Quando você não sabe o que responder - e os outros não sabem o que dizer,"Crie palavras e limites para perguntas, comentários e situações que exigem de você mais do que consegue oferecer."
Depois do Silêncio,O Amor que Permanece,Rede de apoio,Quem consegue ficar perto sem tentar consertar a sua dor?,"Reconheça presenças que acolhem silêncio, saudade e dias difíceis sem exigir melhora ou explicação."
Depois do Silêncio,"Continuar, do Seu Jeito",Datas e gatilhos,"Datas, lugares e marcos: quando a ausência volta a ocupar tudo","Atravesse aniversários, celebrações e encontros com lembranças do jeito que for possível naquele momento."
Depois do Silêncio,"Continuar, do Seu Jeito",Retorno ao cotidiano,"Quando voltar ao trabalho, aos amigos ou ao mundo parece estranho",Dê pequenos passos de volta à vida cotidiana sem cobrar que os lugares conhecidos pareçam os mesmos.
Depois do Silêncio,"Continuar, do Seu Jeito",Culpa e bem-estar,Quando um momento bom chega e a culpa vem junto,Permita que algum bem-estar exista sem tratá-lo como esquecimento ou traição ao amor pelo seu filho.
Depois do Silêncio,"Continuar, do Seu Jeito",Identidade parental,Quem sou eu agora? Continuar sendo pai ou mãe depois da perda,"Acolha uma identidade parental que permanece e, ao mesmo tempo, precisa encontrar novas formas de existir."
Depois do Silêncio,"Continuar, do Seu Jeito",Continuidade,Continuar vivendo não é deixar seu filho para trás,Abra espaço para novos movimentos da vida sem exigir que a saudade desapareça ou que a esperança chegue depressa.
